Date,Weekday,Holiday
1925-05-29,Friday,Memorial Day (observed)
1925-06-15,Monday,FlagDay (observed)
1925-07-03,Friday,Independence Day (observed)
1925-09-07,Monday,Labor Day
1925-10-12,Monday,ColumbusDay
1925-11-03,Tuesday,ElectionDay
1925-11-26,Thursday,Thanks giving
1925-12-25,Friday,Christmas
1926-01-01,Friday,New Years Day
1926-02-12,Friday,LincolnsBirthday
1926-02-22,Monday,Washingtons Birthday
1926-04-02,Friday,Good Friday Day
1926-05-31,Monday,Memorial Day (observed)
1926-06-14,Monday,FlagDay
1926-07-05,Monday,Independence Day (observed)
1926-09-06,Monday,Labor Day
1926-10-12,Tuesday,ColumbusDay
1926-11-02,Tuesday,ElectionDay
1926-11-25,Thursday,Thanks giving
1926-12-24,Friday,Christmas (observed)
1926-12-31,Friday,New Years Day (observed)
1927-02-11,Friday,LincolnsBirthday (observed)
1927-02-22,Tuesday,Washingtons Birthday
1927-04-15,Friday,Good Friday Day
1927-05-30,Monday,Memorial Day
1927-06-13,Monday,Parade-CharlesLindbergh
1927-06-14,Tuesday,FlagDay
1927-07-04,Monday,IndependenceDay
1927-09-05,Monday,Labor Day
1927-10-12,Wednesday,ColumbusDay
1927-11-08,Tuesday,ElectionDay
1927-11-24,Thursday,Thanks giving
1927-12-26,Monday,Christmas (observed)
1928-01-02,Monday,New Years Day (observed)
1928-02-13,Monday,LincolnsBirthday (observed)
1928-02-22,Wednesday,Washingtons Birthday
1928-04-06,Friday,Good Friday Day
1928-05-30,Wednesday,Memorial Day
1928-06-14,Thursday,FlagDay
1928-07-04,Wednesday,IndependenceDay
1928-09-03,Monday,Labor Day
1928-10-12,Friday,ColumbusDay
1928-11-06,Tuesday,ElectionDay
1928-11-29,Thursday,Thanks giving
1928-12-25,Tuesday,Christmas
1929-01-01,Tuesday,New Years Day
1929-02-12,Tuesday,LincolnsBirthday
1929-02-22,Friday,Washingtons Birthday
1929-03-29,Friday,Good Friday Day
1929-05-30,Thursday,Memorial Day
1929-06-14,Friday,FlagDay
1929-07-04,Thursday,IndependenceDay
1929-09-02,Monday,Labor Day
1929-10-11,Friday,ColumbusDay (observed)
1929-11-01,Friday,ClericalBacklogRelief
1929-11-05,Tuesday,ElectionDay
1929-11-28,Thursday,Thanks giving
1929-12-25,Wednesday,Christmas
1930-01-01,Wednesday,New Years Day
1930-02-12,Wednesday,LincolnsBirthday
1930-02-21,Friday,Washingtons Birthday (observed)
1930-04-18,Friday,Good Friday Day
1930-05-30,Friday,Memorial Day
1930-06-13,Friday,FlagDay (observed)
1930-07-04,Friday,IndependenceDay
1930-09-01,Monday,Labor Day
1930-10-13,Monday,ColumbusDay (observed)
1930-11-04,Tuesday,ElectionDay
1930-11-27,Thursday,Thanks giving
1930-12-25,Thursday,Christmas
1931-01-01,Thursday,New Years Day
1931-02-12,Thursday,LincolnsBirthday
1931-02-23,Monday,Washingtons Birthday (observed)
1931-04-03,Friday,Good Friday Day
1931-05-29,Friday,Memorial Day (observed)
1931-06-15,Monday,FlagDay (observed)
1931-07-03,Friday,Independence Day (observed)
1931-09-07,Monday,Labor Day
1931-10-12,Monday,ColumbusDay
1931-11-03,Tuesday,ElectionDay
1931-11-26,Thursday,Thanks giving
1931-12-25,Friday,Christmas
1932-01-01,Friday,New Years Day
1932-02-12,Friday,LincolnsBirthday
